Tempo,E[N],E[W],Erro_Little,Ocupacao
100.000000,6.565939,1.430488 ,-0.000000,0.819662
200.000000,7.245674,1.551186 ,-0.293090,0.873696
300.000000,14.966381,3.135958 ,-0.441627,0.915272
400.000000,16.033677,3.279500 ,-0.117862,0.937017
500.000000,14.616510,2.987719 ,-0.059168,0.939935
600.000000,14.165762,2.924876 ,-0.005265,0.931038
700.000000,13.347868,2.742314 ,-0.026787,0.928467
800.000000,12.330112,2.532374 ,-0.012046,0.917924
900.000000,14.251953,2.964625 ,-0.370236,0.926723
1000.000000,19.617102,3.998168 ,-0.257792,0.934167
1100.000000,20.437218,4.130752 ,-0.002495,0.939962
1200.000000,19.642312,3.996426 ,-0.010112,0.935118
1300.000000,18.663558,3.790175 ,-0.004510,0.936965
1400.000000,17.938450,3.633452 ,-0.036755,0.937442
1500.000000,17.989276,3.638179 ,-0.000305,0.939489
1600.000000,17.748898,3.570147 ,-0.008121,0.942858
1700.000000,17.015469,3.431352 ,0.000002,0.939712
1800.000000,16.405628,3.317948 ,-0.023745,0.934078
1900.000000,16.059879,3.248565 ,0.000000,0.933984
2000.000000,15.791846,3.193251 ,-0.009957,0.934314
2100.000000,15.362100,3.101964 ,-0.000006,0.933208
2200.000000,15.043249,3.038796 ,-0.000174,0.934716
2300.000000,15.329688,3.101957 ,-0.041182,0.935898
2400.000000,15.460732,3.123649 ,-0.000030,0.936430
2500.000000,15.612775,3.155437 ,-0.028095,0.937509
2600.000000,15.518448,3.135385 ,0.000702,0.937705
2700.000000,15.289953,3.092118 ,0.000000,0.938496
2800.000000,15.570666,3.167218 ,-0.116113,0.939420
2900.000000,16.713134,3.378005 ,-0.004499,0.941653
3000.000000,16.781442,3.383972 ,-0.003060,0.943265
3100.000000,16.747951,3.376698 ,-0.007007,0.944646
3200.000000,16.662119,3.362701 ,-0.000065,0.945094
3300.000000,16.938598,3.416820 ,-0.008828,0.946025
3400.000000,17.836405,3.641321 ,-0.245967,0.947487
3500.000000,19.041102,3.849373 ,-0.046288,0.948957
3600.000000,18.984023,3.832894 ,-0.005838,0.949901
3700.000000,18.770859,3.792319 ,-0.006246,0.949708
3800.000000,18.630793,3.764380 ,-0.015767,0.950699
3900.000000,18.476157,3.724227 ,-0.000786,0.950861
4000.000000,18.374431,3.699821 ,-0.018301,0.950669
4100.000000,18.529390,3.729031 ,-0.002076,0.951802
4200.000000,18.251463,3.677314 ,-0.005527,0.950169
4300.000000,18.085555,3.644324 ,-0.002158,0.950235
4400.000000,17.866804,3.603284 ,-0.018588,0.950140
4500.000000,17.786528,3.582062 ,-0.004381,0.950775
4600.000000,17.705174,3.568556 ,-0.010379,0.950418
4700.000000,17.847808,3.592112 ,-0.000401,0.951478
4800.000000,17.871067,3.594751 ,-0.007575,0.951826
4900.000000,17.866834,3.593801 ,-0.009028,0.952854
5000.000000,17.734509,3.562887 ,-0.000116,0.952986
5100.000000,17.452930,3.508891 ,-0.000018,0.950443
5200.000000,17.474594,3.509925 ,-0.000107,0.951112
5300.000000,17.206099,3.458110 ,-0.000936,0.948649
5400.000000,17.450326,3.510231 ,-0.022175,0.949322
5500.000000,17.331237,3.485772 ,-0.006995,0.949012
5600.000000,17.162875,3.452054 ,-0.001232,0.948167
5700.000000,17.247540,3.465926 ,-0.000003,0.949015
5800.000000,17.199964,3.456674 ,0.000033,0.948021
5900.000000,17.027106,3.420834 ,-0.008068,0.947583
6000.000000,16.920274,3.397020 ,-0.007075,0.947439
6100.000000,16.925130,3.400131 ,-0.032045,0.947920
6200.000000,17.461653,3.511884 ,-0.057551,0.948811
6300.000000,18.446325,3.722002 ,-0.147145,0.949582
6400.000000,19.366152,3.881390 ,-0.028064,0.950428
6500.000000,19.351370,3.874327 ,0.000000,0.950506
6600.000000,19.423485,3.896165 ,-0.054981,0.951241
6700.000000,19.744115,3.948959 ,-0.004216,0.951942
6800.000000,19.664550,3.931436 ,-0.001880,0.951918
6900.000000,19.535562,3.907471 ,-0.000097,0.951405
7000.000000,19.337231,3.869520 ,-0.000417,0.950122
7100.000000,19.303728,3.858299 ,-0.000267,0.950467
7200.000000,19.301846,3.854199 ,-0.000195,0.950885
7300.000000,19.171181,3.829716 ,-0.007828,0.949997
7400.000000,19.061237,3.807984 ,-0.002353,0.949870
7500.000000,19.005198,3.797010 ,-0.012255,0.949672
7600.000000,19.089703,3.811876 ,-0.000775,0.949911
7700.000000,19.101894,3.813598 ,-0.009680,0.950425
7800.000000,19.050473,3.806586 ,-0.022963,0.950998
7900.000000,19.198700,3.832465 ,-0.000007,0.951161
8000.000000,19.078227,3.809407 ,-0.001664,0.950457
8100.000000,18.991901,3.793610 ,-0.005185,0.950335
8200.000000,18.932571,3.783668 ,-0.001917,0.950117
8300.000000,18.768996,3.751803 ,-0.000869,0.948662
8400.000000,18.611861,3.724323 ,0.000000,0.947684
8500.000000,18.478182,3.699290 ,-0.001727,0.947271
8600.000000,18.320893,3.668531 ,-0.000004,0.946307
8700.000000,18.291856,3.659908 ,-0.001374,0.946904
8800.000000,18.247771,3.648762 ,-0.015110,0.947315
8900.000000,18.346665,3.664171 ,-0.000126,0.947722
9000.000000,18.195988,3.638264 ,-0.000181,0.946858
9100.000000,18.066890,3.614503 ,-0.001655,0.946322
9200.000000,17.967577,3.593375 ,-0.001251,0.946009
9300.000000,17.845030,3.570874 ,-0.000123,0.945581
9400.000000,17.709581,3.543877 ,0.000000,0.945053
9500.000000,17.584464,3.519864 ,-0.000776,0.944671
9600.000000,17.456221,3.496152 ,-0.001232,0.943707
9700.000000,17.330420,3.473770 ,-0.000828,0.943391
9800.000000,17.391889,3.484276 ,-0.001759,0.943625
9900.000000,17.311563,3.467587 ,-0.003603,0.943489
10000.000000,17.202628,3.444726 ,0.000014,0.943192
10100.000000,17.135880,3.430845 ,0.000000,0.942968
10200.000000,17.082835,3.419937 ,-0.000087,0.943182
10300.000000,17.033967,3.409973 ,-0.000007,0.943183
10400.000000,17.012782,3.408282 ,-0.013225,0.943274
10500.000000,17.342098,3.475089 ,-0.026067,0.943788
10600.000000,17.771312,3.557071 ,-0.011694,0.944324
10700.000000,17.852413,3.572219 ,0.000000,0.944671
10800.000000,17.728906,3.548138 ,0.000043,0.944066
10900.000000,17.696411,3.542725 ,-0.003891,0.944374
11000.000000,17.781367,3.559626 ,-0.011910,0.944832
11100.000000,17.743322,3.551352 ,0.000000,0.945017
11200.000000,17.650393,3.532512 ,-0.000814,0.945079
11300.000000,17.558349,3.513814 ,-0.000461,0.944874
11400.000000,17.488124,3.498915 ,-0.000314,0.944489
11500.000000,17.444484,3.492108 ,-0.004216,0.944507
11600.000000,17.384219,3.481047 ,-0.000012,0.944453
11700.000000,17.329039,3.471695 ,-0.006886,0.944020
11800.000000,17.329785,3.471909 ,-0.000631,0.944150
11900.000000,17.265816,3.459226 ,-0.002699,0.943806
12000.000000,17.274544,3.459648 ,-0.002649,0.944312
12100.000000,17.177651,3.442711 ,-0.000056,0.943759
12200.000000,17.139180,3.436081 ,-0.001230,0.943744
12300.000000,17.098415,3.427482 ,0.000017,0.943870
12400.000000,17.000311,3.410256 ,-0.000917,0.943409
12500.000000,16.899627,3.391333 ,-0.000066,0.942396
12600.000000,16.903871,3.391303 ,-0.001505,0.942677
12700.000000,16.972661,3.405273 ,-0.005438,0.943167
12800.000000,17.041815,3.420217 ,-0.007432,0.943579
12900.000000,16.970655,3.404874 ,-0.000399,0.943317
13000.000000,16.956991,3.401845 ,-0.008273,0.943665
13100.000000,16.957522,3.400436 ,-0.000012,0.943758
13200.000000,16.870755,3.380494 ,-0.000214,0.943518
13300.000000,16.785623,3.363507 ,-0.000045,0.942928
13400.000000,16.808478,3.367945 ,-0.005864,0.943239
13500.000000,17.003276,3.406017 ,-0.009147,0.943702
13600.000000,17.095597,3.425240 ,-0.008694,0.944074
13700.000000,17.361090,3.481373 ,-0.029765,0.944484
13800.000000,17.674402,3.540892 ,-0.017742,0.944895
13900.000000,17.681302,3.537617 ,-0.000931,0.945214
14000.000000,17.637410,3.527654 ,-0.000106,0.945405
14100.000000,17.611597,3.524103 ,-0.005669,0.945402
14200.000000,17.573455,3.516177 ,0.000000,0.945264
14300.000000,17.623929,3.526682 ,-0.003561,0.945571
14400.000000,17.594218,3.519687 ,-0.000796,0.945630
14500.000000,17.537569,3.508636 ,-0.000770,0.945487
14600.000000,17.467742,3.495100 ,-0.000099,0.945182
14700.000000,17.415027,3.485731 ,-0.000112,0.945166
14800.000000,17.559375,3.514699 ,-0.012933,0.945540
14900.000000,17.798076,3.561756 ,-0.017875,0.945912
15000.000000,18.109287,3.621353 ,-0.010999,0.946270
15100.000000,18.097571,3.617192 ,-0.000364,0.946420
15200.000000,18.027984,3.604612 ,-0.000057,0.946093
15300.000000,18.000622,3.600636 ,-0.001380,0.945644
15400.000000,17.979018,3.595805 ,-0.000706,0.945990
15500.000000,17.945565,3.589699 ,-0.001540,0.946224
15600.000000,17.964017,3.593633 ,0.000000,0.946410
15700.000000,17.867873,3.575648 ,-0.000117,0.945930
15800.000000,17.854665,3.572572 ,-0.008192,0.945937
15900.000000,17.818574,3.564275 ,-0.000113,0.945917
16000.000000,17.833579,3.567031 ,-0.001577,0.946262
16100.000000,17.779085,3.556750 ,-0.001129,0.945921
16200.000000,17.953551,3.591643 ,-0.013531,0.946265
16300.000000,18.018386,3.601671 ,-0.000797,0.946570
16400.000000,17.943431,3.586764 ,-0.000448,0.946406
16500.000000,17.881184,3.574403 ,-0.000364,0.946408
16600.000000,17.805239,3.559292 ,-0.000014,0.946117
16700.000000,17.723259,3.543497 ,-0.000806,0.945472
16800.000000,17.651518,3.530009 ,0.000002,0.945126
16900.000000,17.578803,3.517035 ,-0.000131,0.944811
17000.000000,17.527429,3.507542 ,-0.000583,0.944603
17100.000000,17.467675,3.496268 ,-0.000988,0.944199
17200.000000,17.418693,3.486780 ,-0.000406,0.944113
17300.000000,17.491307,3.502976 ,-0.015473,0.944256
17400.000000,17.737830,3.553554 ,-0.026059,0.944611
17500.000000,18.056906,3.614991 ,-0.017430,0.944900
17600.000000,18.308728,3.663196 ,-0.010998,0.945204
17700.000000,18.431592,3.685680 ,-0.001595,0.945522
17800.000000,18.461024,3.690127 ,-0.001426,0.945836
17900.000000,18.573602,3.713278 ,-0.010423,0.946128
18000.000000,18.674505,3.732719 ,-0.000081,0.946276
18100.000000,18.657934,3.729962 ,-0.000118,0.946307
18200.000000,18.633095,3.723041 ,-0.000523,0.946303
18300.000000,18.608887,3.718330 ,-0.001454,0.946496
18400.000000,18.557785,3.709228 ,-0.000047,0.946197
18500.000000,18.549532,3.708036 ,-0.004276,0.946293
18600.000000,18.516360,3.700896 ,-0.000056,0.946312
18700.000000,18.452414,3.689066 ,-0.002780,0.945959
18800.000000,18.516803,3.701296 ,-0.000507,0.946269
18900.000000,18.457422,3.689997 ,0.000017,0.946165
