Tempo,E[N],E[W],Erro_Little,Ocupacao
100.000000,8.781514,1.695273,-0.000000000000048,0.928305
200.000000,8.234784,1.629037,0.000000000000087,0.923862
300.000000,7.538206,1.499643,-0.000000000000399,0.900076
400.000000,6.976252,1.396647,0.000000000000200,0.890160
500.000000,7.049241,1.412108,-0.000000000000529,0.890527
600.000000,7.037825,1.396856,-0.000000000001084,0.890116
700.000000,7.365921,1.475714,-0.000000000002818,0.889665
800.000000,7.170015,1.436517,0.000000000000063,0.891097
900.000000,7.013645,1.405853,0.000000000004133,0.890909
1000.000000,6.854584,1.376423,0.000000000005090,0.888004
1100.000000,8.225229,1.642656,-0.000000000000080,0.896607
1200.000000,8.096223,1.620055,0.000000000002686,0.895045
1300.000000,11.244483,2.224936,0.000000000007054,0.902900
1400.000000,12.067371,2.386203,0.000000000010679,0.908999
1500.000000,11.941394,2.371206,0.000000000011145,0.906562
1600.000000,12.018059,2.385423,0.000000000008123,0.908278
1700.000000,11.614797,2.316963,0.000000000009008,0.902071
1800.000000,11.230481,2.244351,0.000000000016749,0.898568
1900.000000,10.865416,2.171712,0.000000000007136,0.897007
2000.000000,10.699509,2.129467,-0.000000000005844,0.896904
2100.000000,10.395067,2.069945,-0.000000000005736,0.897276
2200.000000,10.175461,2.030662,-0.000000000009145,0.895654
2300.000000,9.918484,1.983179,-0.000000000001810,0.892984
2400.000000,10.337850,2.059162,-0.000000000006210,0.897473
2500.000000,10.275548,2.049208,0.000000000003039,0.898889
2600.000000,10.291418,2.050398,-0.000000000005423,0.900765
2700.000000,10.065275,2.011714,-0.000000000012326,0.896933
2800.000000,10.221502,2.038331,-0.000000000016163,0.899560
2900.000000,10.214035,2.034109,0.000000000000799,0.900104
3000.000000,10.141078,2.024976,-0.000000000009896,0.898925
3100.000000,9.970853,1.989550,-0.000000000031417,0.898610
3200.000000,9.842293,1.966247,-0.000000000006844,0.897036
3300.000000,9.679951,1.937047,-0.000000000010175,0.894617
3400.000000,9.553306,1.912912,0.000000000008848,0.893440
3500.000000,9.476459,1.893993,0.000000000015987,0.893915
3600.000000,9.399873,1.878201,0.000000000019753,0.894550
3700.000000,9.326549,1.863899,0.000000000026089,0.894948
3800.000000,9.290088,1.857333,-0.000000000000542,0.895404
3900.000000,9.305165,1.861510,-0.000000000001100,0.895112
4000.000000,9.358149,1.871817,-0.000000000041396,0.895963
4100.000000,9.327058,1.865503,-0.000000000024949,0.896009
4200.000000,9.216986,1.843309,-0.000000000025860,0.895335
4300.000000,9.149260,1.829171,-0.000000000008763,0.894772
4400.000000,9.115185,1.824198,-0.000000000014621,0.894987
4500.000000,9.041698,1.809949,-0.000000000028283,0.893575
4600.000000,9.010788,1.803177,-0.000000000042954,0.893427
4700.000000,9.032984,1.804984,-0.000000000039229,0.894683
4800.000000,8.953158,1.787726,-0.000000000056740,0.895582
4900.000000,8.866194,1.771720,-0.000000000039563,0.894253
5000.000000,8.750621,1.751105,-0.000000000049340,0.892314
5100.000000,8.681823,1.736705,-0.000000000032145,0.892163
5200.000000,8.780958,1.754639,-0.000000000025766,0.893764
5300.000000,8.746386,1.748222,-0.000000000013989,0.893232
5400.000000,8.685985,1.737969,0.000000000019366,0.892855
5500.000000,8.687486,1.737497,0.000000000004620,0.893169
5600.000000,8.759511,1.751089,0.000000000021549,0.893747
